Console output now writes to BlvsODTest.txt and can be found at /home/pi/Chromostat/BlvsODTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Current settings are the following:

Currently saving output to: /home/pi/Chromostat/BlvsODTest.txt
Gain value is: 0
Integration Time is 1000.0 m/s
Time between measurements is 60000 m/s

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Mode  Time  Red  Green  Blue
T     214     1393   1888   2064
T     215     1428   1925   2094
T     216     1406   1902   2076
T     217     1405   1900   2072
T     218     1389   1882   2059
T     219     1398   1894   2067
T     220     1367   1863   2040
T     221     1403   1900   2073
T     222     1405   1901   2073
T     223     1389   1884   2059
T     224     1421   1918   2087
T     225     1385   1880   2056
T     226     1409   1908   2078
T     227     1404   1906   2070
T     228     1390   1884   2060
T     229     1401   1896   2070
T     230     1368   1867   2036
T     231     1395   1890   2064
T     232     1387   1880   2056
T     233     1421   1916   2083
T     234     1360   1856   2030
T     235     1425   1922   2089
T     236     1417   1913   2083
T     237     1349   1845   2018
T     238     1399   1894   2068
T     239     1407   1905   2077
T     240     1393   1893   2062
T     241     1401   1899   2066
T     242     1412   1907   2078
T     243     1413   1909   2080
T     244     1342   1837   2013
T     245     1419   1917   2087
T     246     1414   1910   2080
T     247     1401   1897   2072
T     248     1347   1844   2018
T     249     1389   1885   2061
T     250     1412   1909   2071
T     251     1387   1883   2057
T     252     1352   1850   2025
T     253     1399   1895   2070
T     254     1431   1929   2096
T     255     1350   1848   2022
T     256     1401   1902   2072
T     257     1414   1911   2086
T     258     1422   1919   2088
T     259     1344   1842   2018
T     260     1370   1866   2043
T     261     1391   1887   2064
T     262     1391   1886   2063
T     263     1398   1894   2070
T     264     1368   1865   2040
T     265     1389   1885   2062
T     266     1422   1920   2091
T     267     1387   1883   2060
T     268     1386   1883   2058
T     269     1397   1893   2068
T     270     1419   1917   2088
T     271     1395   1889   2065
T     272     1415   1914   2086
T     273     1407   1904   2077
T     274     1390   1886   2063
T     275     1398   1893   2067
T     276     1403   1901   2075
T     277     1414   1912   2085
T     278     1396   1893   2066
T     279     1350   1848   2024
T     280     1389   1884   2061
T     281     1403   1901   2074
T     282     1424   1922   2090
T     283     1351   1851   2026
T     284     1390   1886   2063
T     285     1403   1901   2075
T     286     1416   1915   2086
T     287     1346   1844   2020
T     288     1387   1883   2061
T     289     1406   1905   2079
T     290     1390   1885   2063
T     291     1366   1866   2038
T     292     1380   1877   2052
T     293     1398   1896   2072
T     294     1407   1904   2077
T     295     1355   1853   2027
T     296     1391   1890   2059
T     297     1402   1898   2074
T     298     1392   1889   2066
T     299     1378   1878   2052
T     300     1349   1847   2024
T     301     1388   1884   2063
T     302     1388   1884   2062
T     303     1401   1897   2073
T     304     1348   1847   2023
T     305     1421   1918   2088
T     306     1385   1882   2060
T     307     1390   1887   2065
T     308     1350   1849   2025
T     309     1405   1901   2076
T     310     1387   1883   2061
T     311     1406   1904   2079
T     312     1391   1893   2065
T     313     1397   1893   2070
T     314     1401   1898   2075
T     315     1401   1897   2074
T     316     1342   1839   2017
T     317     1409   1907   2080
T     318     1398   1897   2072
T     319     1404   1902   2076
T     320     1350   1848   2024
T     321     1427   1927   2094
T     322     1404   1902   2077
T     323     1386   1882   2060
