Console output now writes to BlvsODTest.txt and can be found at /home/pi/Chromostat/BlvsODTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Current settings are the following:

Currently saving output to: /home/pi/Chromostat/BlvsODTest.txt
Gain value is: 0
Integration Time is 1000.0 m/s
Time between measurements is 60000 m/s

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Mode  Time  Red  Green  Blue
T     912     1340   1842   2018
T     913     1328   1830   2007
T     914     1363   1863   2039
T     915     1366   1868   2044
T     916     1343   1845   2021
T     917     1331   1872   2048
T     918     1373   1874   2050
T     919     1363   1864   2041
T     920     1353   1854   2031
T     921     1374   1877   2051
T     922     1380   1883   2058
T     923     1369   1869   2046
T     924     1372   1873   2049
T     925     1362   1862   2040
T     926     1366   1866   2042
T     927     1381   1884   2058
T     928     1336   1838   2013
T     929     1363   1864   2041
T     930     1364   1865   2041
T     931     1360   1860   2038
T     932     1343   1847   2021
T     933     1328   1829   2007
T     934     1363   1863   2040
T     935     1369   1870   2047
T     936     1346   1848   2024
T     937     1330   1832   2008
T     938     1387   1891   2062
T     939     1373   1875   2051
T     940     1370   1872   2048
T     941     1355   1861   2031
T     942     1389   1891   2064
T     943     1373   1875   2051
T     944     1360   1860   2037
T     945     1324   1826   2003
T     946     1345   1864   2041
T     947     1370   1872   2048
T     948     1369   1870   2047
T     949     1337   1838   2015
T     950     1368   1870   2046
T     951     1364   1865   2043
T     952     1369   1870   2047
T     953     1361   1862   2039
T     954     1362   1862   2040
T     955     1366   1867   2045
T     956     1364   1864   2042
T     957     1369   1871   2047
T     958     1368   1870   2046
T     959     1367   1867   2045
T     960     1362   1863   2040
T     961     1329   1831   2008
T     962     1362   1862   2041
T     963     1388   1893   2066
T     964     1366   1866   2044
T     965     1334   1836   2012
T     966     1333   1836   2013
T     967     1363   1864   2042
T     968     1368   1871   2047
T     969     1371   1873   2050
T     970     1363   1869   2041
T     971     1348   1850   2027
T     972     1363   1864   2042
T     973     1368   1872   2045
T     974     1360   1860   2039
T     975     1364   1865   2043
T     976     1348   1850   2027
T     977     1347   1852   2026
T     978     1372   1874   2050
T     979     1363   1864   2041
T     980     1379   1883   2058
T     981     1330   1833   2010
T     982     1334   1837   2014
T     983     1379   1881   2057
T     984     1370   1873   2048
T     985     1357   1858   2036
T     986     1326   1828   2006
T     987     1355   1857   2034
T     988     1366   1868   2046
T     989     1370   1872   2049
T     990     1341   1843   2021
T     991     1327   1829   2006
T     992     1395   1888   2060
T     993     1384   1878   2051
T     994     1409   1906   2075
T     995     1354   1850   2021
T     996     1391   1886   2057
T     997     1386   1880   2053
T     998     1392   1887   2058
T     999     1383   1877   2050
T     1000     1386   1881   2053
T     1001     1378   1871   2045
T     1002     1387   1882   2054
T     1003     1344   1839   2012
T     1004     1345   1840   2012
T     1005     1383   1878   2051
T     1006     1380   1874   2047
T     1007     1377   1871   2045
T     1008     1360   1859   2029
T     1009     1366   1862   2035
T     1010     1378   1872   2045
T     1011     1379   1873   2046
T     1012     1353   1848   2022
T     1013     1356   1853   2024
T     1014     1377   1871   2045
T     1015     1376   1871   2044
T     1016     1398   1895   2066
T     1017     1355   1852   2024
T     1018     1365   1861   2032
T     1019     1387   1883   2055
T     1020     1385   1880   2053
T     1021     1401   1899   2069
T     1022     1344   1839   2012
T     1023     1380   1875   2048
T     1024     1383   1879   2051
T     1025     1385   1880   2052
T     1026     1370   1864   2038
T     1027     1375   1869   2043
T     1028     1376   1870   2044
T     1029     1379   1873   2047
T     1030     1389   1884   2057
T     1031     1353   1849   2022
T     1032     1375   1870   2043
T     1033     1379   1874   2047
T     1034     1382   1878   2050
T     1035     1344   1839   2012
T     1036     1370   1865   2037
T     1037     1380   1876   2049
T     1038     1381   1875   2049
T     1039     1369   1864   2037
T     1040     1347   1843   2015
T     1041     1371   1867   2040
T     1042     1408   1908   2077
T     1043     1383   1879   2052
T     1044     1347   1842   2015
T     1045     1367   1866   2036
T     1046     1379   1875   2047
T     1047     1376   1870   2043
T     1048     1392   1890   2061
T     1049     1368   1863   2036
T     1050     1347   1843   2016
T     1051     1388   1884   2056
T     1052     1388   1885   2057
T     1053     1380   1875   2048
T     1054     1388   1884   2056
T     1055     1382   1877   2050
T     1056     1399   1896   2066
T     1057     1411   1910   2079
T     1058     1385   1881   2053
T     1059     1347   1843   2017
T     1060     1376   1871   2044
T     1061     1402   1900   2069
T     1062     1379   1874   2047
T     1063     1384   1880   2052
T     1064     1349   1845   2018
T     1065     1357   1853   2026
T     1066     1384   1879   2052
T     1067     1382   1877   2050
T     1068     1379   1874   2047
T     1069     1351   1848   2020
T     1070     1351   1848   2020
T     1071     1380   1875   2048
T     1072     1381   1876   2049
T     1073     1398   1896   2067
T     1074     1355   1851   2023
T     1075     1385   1881   2054
T     1076     1381   1876   2050
T     1077     1379   1874   2048
T     1078     1382   1877   2050
T     1079     1367   1862   2035
T     1080     1398   1895   2065
T     1081     1380   1875   2048
T     1082     1382   1879   2051
T     1083     1375   1876   2044
T     1084     1356   1854   2025
T     1085     1382   1877   2050
T     1086     1392   1889   2060
T     1087     1401   1900   2070
T     1088     1370   1865   2038
T     1089     1350   1847   2019
T     1090     1374   1870   2043
T     1091     1380   1875   2048
T     1092     1393   1890   2062
T     1093     1385   1881   2053
T     1094     1356   1853   2024
T     1095     1366   1862   2034
T     1096     1384   1879   2051
T     1097     1383   1879   2051
T     1098     1389   1884   2056
T     1099     1353   1848   2020
T     1100     1384   1879   2050
T     1101     1384   1878   2050
T     1102     1386   1880   2051
T     1103     1378   1873   2044
T     1104     1390   1885   2056
T     1105     1383   1878   2049
T     1106     1384   1879   2050
T     1107     1385   1880   2051
T     1108     1382   1878   2047
T     1109     1388   1883   2053
T     1110     1391   1886   2056
T     1111     1394   1889   2059
T     1112     1356   1851   2021
T     1113     1382   1876   2047
T     1114     1385   1880   2050
T     1115     1365   1860   2030
T     1116     1386   1880   2050
T     1117     1400   1897   2065
T     1118     1388   1882   2052
T     1119     1368   1864   2032
T     1120     1409   1907   2074
T     1121     1420   1917   2081
T     1122     1387   1880   2050
T     1123     1360   1855   2023
T     1124     1393   1888   2057
T     1125     1387   1880   2050
T     1126     1388   1882   2051
T     1127     1360   1855   2023
T     1128     1381   1876   2044
T     1129     1389   1883   2053
T     1130     1391   1886   2054
T     1131     1370   1864   2032
T     1132     1361   1855   2024
T     1133     1389   1883   2052
T     1134     1393   1887   2055
T     1135     1378   1872   2041
T     1136     1362   1857   2024
T     1137     1394   1889   2057
T     1138     1399   1894   2061
T     1139     1389   1883   2051
T     1140     1363   1857   2025
T     1141     1380   1874   2043
T     1142     1392   1887   2054
T     1143     1391   1884   2052
T     1144     1394   1891   2056
T     1145     1375   1872   2037
T     1146     1394   1888   2055
T     1147     1393   1888   2055
T     1148     1384   1879   2045
T     1149     1369   1864   2030
T     1150     1414   1911   2075
T     1151     1390   1884   2051
T     1152     1384   1880   2046
T     1153     1410   1907   2071
T     1154     1390   1883   2051
T     1155     1396   1888   2056
T     1156     1372   1865   2032
T     1157     1398   1890   2057
T     1158     1408   1902   2067
T     1159     1399   1891   2058
T     1160     1370   1862   2028
T     1161     1401   1893   2059
T     1162     1403   1896   2062
T     1163     1399   1891   2058
T     1164     1400   1892   2058
T     1165     1397   1890   2056
T     1166     1399   1891   2058
T     1167     1403   1895   2061
T     1168     1411   1905   2070
T     1169     1397   1889   2055
T     1170     1395   1888   2054
T     1171     1377   1871   2037
T     1172     1397   1890   2056
T     1173     1407   1901   2066
T     1174     1409   1904   2068
T     1175     1388   1882   2047
T     1176     1416   1914   2076
T     1177     1394   1887   2053
T     1178     1400   1894   2059
T     1179     1392   1887   2052
T     1180     1397   1891   2056
T     1181     1400   1893   2058
T     1182     1372   1867   2032
T     1183     1404   1898   2063
T     1184     1406   1901   2065
T     1185     1397   1890   2056
T     1186     1369   1864   2029
T     1187     1369   1863   2028
T     1188     1399   1892   2058
T     1189     1387   1881   2046
T     1190     1373   1868   2032
T     1191     1399   1893   2058
T     1192     1401   1894   2059
T     1193     1381   1874   2039
T     1194     1371   1866   2030
T     1195     1410   1905   2069
T     1196     1400   1894   2058
T     1197     1373   1868   2032
T     1198     1385   1879   2043
T     1199     1403   1898   2062
T     1200     1399   1893   2057
T     1201     1371   1866   2030
T     1202     1398   1892   2056
T     1203     1407   1902   2065
T     1204     1400   1895   2059
T     1205     1376   1872   2035
T     1206     1403   1896   2061
T     1207     1402   1896   2061
T     1208     1394   1888   2053
T     1209     1375   1870   2034
T     1210     1401   1895   2059
T     1211     1401   1895   2059
T     1212     1394   1889   2052
T     1213     1377   1873   2036
T     1214     1407   1902   2065
T     1215     1400   1894   2058
T     1216     1392   1887   2051
T     1217     1377   1872   2035
T     1218     1405   1900   2063
T     1219     1403   1897   2061
T     1220     1392   1886   2050
T     1221     1376   1872   2035
T     1222     1419   1916   2077
T     1223     1410   1905   2068
T     1224     1390   1885   2049
T     1225     1384   1880   2042
T     1226     1411   1906   2069
T     1227     1405   1899   2063
T     1228     1389   1884   2047
T     1229     1407   1902   2065
T     1230     1404   1899   2062
T     1231     1434   1931   2090
T     1232     1391   1888   2049
T     1233     1407   1902   2065
T     1234     1406   1901   2064
T     1235     1407   1902   2065
T     1236     1382   1877   2068
T     1237     1408   1903   2066
T     1238     1419   1916   2076
T     1239     1408   1904   2065
T     1240     1413   1908   2070
T     1241     1409   1904   2066
T     1242     1432   1930   2088
T     1243     1400   1896   2058
T     1244     1409   1904   2066
T     1245     1407   1901   2064
T     1246     1412   1907   2069
T     1247     1407   1902   2063
T     1248     1410   1904   2066
T     1249     1410   1905   2067
T     1250     1437   1934   2092
T     1251     1406   1901   2063
T     1252     1417   1913   2073
T     1253     1413   1908   2070
T     1254     1411   1906   2069
T     1255     1416   1912   2073
T     1256     1424   1921   2081
T     1257     1413   1908   2070
T     1258     1406   1902   2063
T     1259     1414   1909   2070
T     1260     1415   1911   2071
T     1261     1392   1889   2049
T     1262     1428   1925   2085
T     1263     1418   1914   2075
T     1264     1422   1919   2079
T     1265     1391   1887   2047
T     1266     1413   1909   2070
T     1267     1416   1911   2072
T     1268     1422   1918   2078
T     1269     1393   1890   2049
T     1270     1416   1912   2072
T     1271     1416   1912   2072
T     1272     1411   1907   2068
T     1273     1420   1916   2076
T     1274     1415   1911   2071
T     1275     1416   1911   2072
T     1276     1400   1896   2056
T     1277     1432   1930   2088
T     1278     1427   1924   2083
T     1279     1419   1914   2075
T     1280     1403   1900   2058
T     1281     1429   1926   2084
T     1282     1419   1915   2074
T     1283     1429   1926   2085
T     1284     1395   1892   2051
T     1285     1422   1917   2077
T     1286     1418   1914   2073
T     1287     1422   1918   2077
T     1288     1423   1919   2078
T     1289     1421   1917   2076
T     1290     1422   1918   2077
T     1291     1423   1920   2079
T     1292     1423   1919   2078
T     1293     1422   1917   2077
T     1294     1421   1917   2076
T     1295     1424   1920   2079
T     1296     1422   1919   2077
T     1297     1422   1919   2078
T     1298     1423   1920   2078
T     1299     1399   1895   2054
T     1300     1424   1921   2079
T     1301     1423   1920   2078
T     1302     1424   1920   2079
T     1303     1403   1900   2058
T     1304     1426   1923   2081
T     1305     1424   1921   2079
T     1306     1424   1921   2079
T     1307     1403   1901   2058
T     1308     1427   1923   2081
T     1309     1427   1923   2081
T     1310     1411   1908   2066
T     1311     1410   1907   2064
T     1312     1433   1930   2088
T     1313     1435   1933   2090
T     1314     1415   1913   2070
T     1315     1410   1908   2065
T     1316     1432   1929   2087
T     1317     1435   1932   2089
T     1318     1417   1914   2071
T     1319     1408   1905   2062
T     1320     1437   1935   2092
T     1321     1432   1930   2086
T     1322     1424   1923   2079
T     1323     1412   1911   2067
T     1324     1433   1931   2087
T     1325     1434   1932   2089
T     1326     1423   1920   2077
T     1327     1414   1912   2068
T     1328     1437   1935   2091
T     1329     1435   1932   2089
T     1330     1438   1936   2092
T     1331     1442   1941   2096
T     1332     1441   1940   2095
T     1333     1437   1935   2091
T     1334     1437   1936   2091
T     1335     1438   1936   2092
T     1336     1439   1937   2093
T     1337     1448   1947   2102
T     1338     1439   1937   2093
T     1339     1433   1931   2087
T     1340     1438   1936   2092
T     1341     1440   1938   2094
T     1342     1438   1936   2092
T     1343     1431   1930   2084
T     1344     1448   1948   2102
T     1345     1443   1941   2096
T     1346     1444   1943   2098
T     1347     1438   1938   2091
T     1348     1443   1941   2096
T     1349     1447   1946   2100
T     1350     1446   1945   2099
T     1351     1427   1927   2080
T     1352     1450   1950   2103
T     1353     1447   1946   2100
T     1354     1446   1945   2099
T     1355     1427   1926   2080
T     1356     1448   1947   2100
T     1357     1449   1947   2101
T     1358     1438   1937   2090
T     1359     1429   1929   2082
T     1360     1450   1950   2103
T     1361     1449   1948   2101
T     1362     1440   1940   2092
T     1363     1431   1931   2084
T     1364     1450   1949   2102
T     1365     1452   1951   2103
T     1366     1446   1945   2098
T     1367     1433   1933   2085
T     1368     1455   1955   2107
T     1369     1454   1953   2106
T     1370     1451   1951   2103
T     1371     1434   1934   2085
T     1372     1453   1952   2104
T     1373     1458   1957   2108
T     1374     1453   1952   2104
T     1375     1436   1936   2087
T     1376     1463   1963   2114
T     1377     1457   1956   2108
T     1378     1455   1954   2106
T     1379     1437   1937   2088
T     1380     1467   1968   2117
T     1381     1457   1956   2107
T     1382     1466   1966   2116
T     1383     1448   1949   2098
T     1384     1466   1963   2113
T     1385     1459   1958   2109
T     1386     1467   1967   2116
T     1387     1443   1943   2092
T     1388     1465   1964   2114
T     1389     1464   1963   2112
T     1390     1470   1970   2118
T     1391     1447   1948   2096
T     1392     1468   1968   2116
T     1393     1469   1968   2117
T     1394     1466   1965   2113
T     1395     1469   1969   2117
T     1396     1467   1966   2114
T     1397     1466   1966   2114
T     1398     1468   1967   2115
T     1399     1462   1962   2109
T     1400     1450   1950   2097
T     1401     1469   1969   2117
T     1402     1469   1969   2116
T     1403     1470   1970   2117
T     1404     1453   1953   2100
T     1405     1469   1968   2115
T     1406     1471   1972   2119
T     1407     1472   1972   2119
T     1408     1456   1956   2102
T     1409     1458   1959   2105
T     1410     1474   1974   2121
T     1411     1475   1974   2121
T     1412     1469   1969   2115
T     1413     1457   1957   2104
T     1414     1476   1976   2122
T     1415     1477   1977   2123
T     1416     1478   1978   2124
T     1417     1461   1961   2106
T     1418     1480   1979   2125
T     1419     1479   1979   2125
T     1420     1481   1981   2126
T     1421     1463   1964   2109
T     1422     1482   1982   2127
T     1423     1482   1982   2127
T     1424     1481   1982   2126
T     1425     1483   1984   2128
T     1426     1491   1992   2135
T     1427     1488   1988   2132
T     1428     1487   1987   2131
T     1429     1487   1988   2131
T     1430     1489   1990   2133
T     1431     1487   1987   2131
T     1432     1487   1988   2131
T     1433     1478   1979   2122
T     1434     1488   1988   2132
T     1435     1490   1990   2133
T     1436     1490   1990   2133
T     1437     1478   1979   2121
T     1438     1491   1991   2133
T     1439     1491   1991   2133
T     1440     1492   1993   2135
T     1441     1481   1982   2124
T     1442     1494   1995   2137
T     1443     1495   1995   2136
T     1444     1482   1983   2124
T     1445     1477   1978   2119
T     1446     1497   1997   2139
T     1447     1496   1997   2138
T     1448     1489   1990   2131
T     1449     1481   1982   2122
T     1450     1497   1997   2138
T     1451     1499   1999   2140
T     1452     1500   2000   2140
T     1453     1484   1985   2124
T     1454     1501   2001   2141
T     1455     1500   2000   2140
T     1456     1501   2001   2141
T     1457     1485   1986   2125
T     1458     1503   2003   2142
T     1459     1503   2004   2143
T     1460     1505   2005   2144
T     1461     1487   1988   2127
T     1462     1502   2002   2141
T     1463     1505   2005   2144
T     1464     1506   2006   2144
T     1465     1490   1990   2129
T     1466     1502   2002   2140
T     1467     1506   2006   2144
T     1468     1508   2008   2146
T     1469     1492   1992   2130
T     1470     1500   2000   2138
T     1471     1510   2009   2147
T     1472     1510   2010   2147
T     1473     1509   2009   2147
T     1474     1511   2010   2130
T     1475     1510   2010   2147
T     1476     1511   2010   2148
T     1477     1511   2010   2147
T     1478     1495   1994   2131
T     1479     1512   2011   2149
T     1480     1512   2012   2149
T     1481     1512   2011   2148
T     1482     1497   1997   2134
T     1483     1514   2013   2150
T     1484     1513   2012   2149
T     1485     1515   2014   2150
T     1486     1499   1999   2135
T     1487     1516   2014   2151
T     1488     1517   2016   2152
T     1489     1516   2015   2151
T     1490     1501   2000   2136
T     1491     1516   2015   2151
T     1492     1517   2016   2152
T     1493     1518   2016   2153
T     1494     1503   2001   2137
T     1495     1517   2016   2152
T     1496     1519   2017   2153
T     1497     1520   2018   2154
T     1498     1504   2003   2138
T     1499     1521   2020   2155
T     1500     1522   2021   2156
T     1501     1522   2020   2156
T     1502     1506   2005   2140
T     1503     1522   2020   2156
T     1504     1523   2021   2156
T     1505     1523   2021   2156
T     1506     1510   2008   2142
T     1507     1526   2023   2158
T     1508     1527   2025   2160
T     1509     1526   2024   2158
T     1510     1510   2008   2143
T     1511     1525   2023   2157
T     1512     1526   2023   2158
T     1513     1528   2025   2160
T     1514     1514   2012   2146
T     1515     1523   2021   2155
T     1516     1529   2027   2161
T     1517     1530   2027   2161
T     1518     1519   2016   2150
T     1519     1516   2013   2146
T     1520     1532   2029   2162
T     1521     1532   2030   2163
T     1522     1530   2027   2160
T     1523     1518   2015   2148
T     1524     1534   2031   2164
T     1525     1534   2031   2164
T     1526     1535   2032   2165
T     1527     1536   2033   2165
T     1528     1536   2033   2165
T     1529     1536   2033   2165
T     1530     1539   2035   2168
T     1531     1528   2025   2157
T     1532     1538   2035   2167
T     1533     1539   2036   2168
T     1534     1540   2036   2169
T     1535     1526   2023   2155
T     1536     1540   2037   2169
T     1537     1541   2038   2170
T     1538     1542   2038   2170
T     1539     1527   2024   2156
T     1540     1536   2033   2165
T     1541     1542   2038   2170
T     1542     1545   2041   2173
T     1543     1544   2040   2172
T     1544     1545   2042   2173
T     1545     1530   2027   2158
T     1546     1539   2036   2167
T     1547     1547   2043   2175
T     1548     1547   2043   2174
T     1549     1540   2037   2168
T     1550     1534   2031   2161
T     1551     1548   2044   2175
T     1552     1549   2045   2176
T     1553     1549   2046   2177
T     1554     1536   2032   2163
T     1555     1551   2047   2178
T     1556     1551   2047   2179
T     1557     1552   2048   2179
T     1558     1552   2048   2179
T     1559     1554   2050   2181
T     1560     1554   2049   2180
T     1561     1554   2050   2181
T     1562     1554   2050   2180
T     1563     1550   2046   2177
T     1564     1555   2051   2181
T     1565     1557   2053   2183
T     1566     1557   2053   2183
T     1567     1544   2041   2170
T     1568     1557   2053   2183
T     1569     1558   2054   2184
T     1570     1559   2055   2185
T     1571     1546   2042   2172
T     1572     1556   2052   2182
T     1573     1561   2057   2186
T     1574     1562   2058   2187
T     1575     1554   2050   2180
T     1576     1548   2044   2174
T     1577     1563   2059   2189
T     1578     1563   2058   2187
T     1579     1563   2058   2188
T     1580     1552   2048   2176
T     1581     1557   2053   2182
T     1582     1565   2061   2190
T     1583     1567   2062   2192
T     1584     1562   2058   2187
T     1585     1554   2050   2178
T     1586     1568   2063   2192
T     1587     1569   2064   2193
T     1588     1569   2064   2193
T     1589     1558   2054   2182
T     1590     1571   2066   2195
T     1591     1571   2067   2195
T     1592     1570   2066   2194
T     1593     1573   2068   2196
T     1594     1573   2068   2196
T     1595     1573   2069   2197
T     1596     1575   2070   2198
T     1597     1575   2070   2198
T     1598     1572   2067   2195
T     1599     1576   2072   2199
T     1600     1578   2073   2201
T     1601     1577   2073   2201
T     1602     1564   2060   2187
T     1603     1580   2075   2203
T     1604     1579   2074   2202
T     1605     1579   2074   2202
T     1606     1567   2063   2190
T     1607     1581   2076   2204
T     1608     1581   2076   2204
T     1609     1582   2077   2204
T     1610     1570   2065   2192
T     1611     1574   2069   2196
T     1612     1584   2079   2206
T     1613     1584   2079   2206
T     1614     1586   2081   2208
T     1615     1584   2079   2206
T     1616     1573   2069   2195
T     1617     1582   2077   2204
T     1618     1587   2082   2209
T     1619     1588   2083   2209
T     1620     1578   2073   2200
T     1621     1577   2072   2198
T     1622     1590   2085   2211
T     1623     1590   2085   2211
T     1624     1590   2085   2211
T     1625     1579   2074   2200
T     1626     1593   2087   2213
T     1627     1592   2086   2213
T     1628     1593   2088   2214
T     1629     1582   2078   2203
T     1630     1596   2090   2216
T     1631     1594   2089   2215
T     1632     1596   2091   2217
T     1633     1584   2079   2204
T     1634     1597   2091   2217
T     1635     1598   2093   2218
T     1636     1599   2093   2219
T     1637     1590   2085   2210
T     1638     1600   2095   2220
T     1639     1600   2094   2220
T     1640     1600   2095   2221
T     1641     1589   2084   2209
T     1642     1602   2097   2222
T     1643     1602   2096   2222
T     1644     1603   2098   2223
T     1645     1591   2086   2211
T     1646     1604   2099   2224
T     1647     1605   2100   2225
T     1648     1605   2100   2225
T     1649     1592   2088   2213
T     1650     1599   2094   2219
T     1651     1607   2102   2227
T     1652     1607   2102   2227
T     1653     1600   2096   2220
T     1654     1595   2091   2215
T     1655     1608   2103   2228
T     1656     1609   2105   2229
T     1657     1609   2105   2229
T     1658     1598   2094   2218
T     1659     1609   2104   2228
T     1660     1612   2107   2232
T     1661     1611   2107   2231
T     1662     1605   2100   2224
T     1663     1601   2097   2221
T     1664     1614   2109   2233
T     1665     1615   2111   2235
T     1666     1613   2108   2232
T     1667     1605   2101   2224
T     1668     1617   2112   2236
T     1669     1620   2115   2238
T     1670     1618   2114   2237
T     1671     1607   2103   2226
T     1672     1613   2109   2232
T     1673     1621   2117   2239
T     1674     1621   2116   2239
T     1675     1614   2110   2233
T     1676     1610   2106   2228
T     1677     1623   2118   2241
T     1678     1624   2119   2241
T     1679     1624   2120   2242
T     1680     1612   2108   2230
T     1681     1625   2121   2243
T     1682     1627   2122   2244
T     1683     1628   2123   2245
T     1684     1626   2121   2244
T     1685     1617   2113   2234
T     1686     1626   2122   2244
T     1687     1630   2125   2247
T     1688     1630   2126   2248
T     1689     1619   2115   2237
T     1690     1622   2117   2239
T     1691     1632   2128   2250
T     1692     1632   2127   2249
T     1693     1629   2125   2246
T     1694     1623   2120   2241
T     1695     1635   2131   2252
T     1696     1635   2131   2253
T     1697     1636   2133   2254
T     1698     1625   2121   2243
T     1699     1632   2128   2250
T     1700     1638   2134   2255
T     1701     1638   2134   2256
T     1702     1632   2129   2250
T     1703     1629   2125   2247
T     1704     1642   2138   2259
T     1705     1641   2137   2258
T     1706     1642   2139   2260
T     1707     1632   2129   2250
T     1708     1644   2140   2261
T     1709     1645   2141   2262
T     1710     1645   2142   2263
T     1711     1635   2132   2253
T     1712     1646   2143   2264
T     1713     1647   2144   2265
T     1714     1649   2145   2266
T     1715     1643   2140   2260
T     1716     1649   2145   2266
T     1717     1651   2147   2268
T     1718     1652   2148   2269
T     1719     1641   2138   2258
T     1720     1653   2150   2270
T     1721     1653   2150   2271
T     1722     1654   2151   2271
T     1723     1644   2142   2262
T     1724     1655   2153   2273
T     1725     1657   2154   2274
T     1726     1657   2154   2274
T     1727     1648   2145   2265
T     1728     1654   2152   2272
T     1729     1662   2160   2280
T     1730     1664   2161   2281
T     1731     1651   2149   2269
T     1732     1654   2152   2272
T     1733     1663   2160   2280
T     1734     1663   2161   2281
T     1735     1657   2154   2274
T     1736     1655   2152   2272
T     1737     1665   2162   2282
T     1738     1668   2166   2285
T     1739     1662   2160   2279
T     1740     1656   2154   2274
T     1741     1668   2166   2286
T     1742     1671   2169   2288
T     1743     1668   2165   2285
T     1744     1662   2160   2279
T     1745     1670   2169   2288
T     1746     1671   2169   2288
T     1747     1674   2172   2291
T     1748     1663   2161   2281
T     1749     1675   2173   2292
T     1750     1675   2173   2293
T     1751     1676   2174   2293
T     1752     1667   2166   2284
T     1753     1679   2178   2297
T     1754     1679   2177   2296
T     1755     1677   2175   2294
T     1756     1672   2171   2289
T     1757     1683   2183   2301
T     1758     1682   2180   2299
T     1759     1681   2180   2299
T     1760     1682   2181   2300
T     1761     1683   2182   2301
T     1762     1686   2185   2304
T     1763     1685   2185   2303
T     1764     1686   2185   2303
T     1765     1683   2182   2301
T     1766     1687   2187   2305
T     1767     1689   2189   2307
T     1768     1678   2178   2297
T     1769     1688   2187   2306
T     1770     1692   2192   2310
T     1771     1689   2189   2308
T     1772     1682   2182   2300
T     1773     1691   2192   2309
T     1774     1692   2192   2310
T     1775     1695   2195   2313
T     1776     1686   2186   2304
T     1777     1691   2192   2309
T     1778     1700   2200   2318
T     1779     1701   2201   2319
T     1780     1690   2191   2308
T     1781     1689   2189   2307
T     1782     1700   2200   2318
T     1783     1699   2199   2317
T     1784     1693   2194   2312
T     1785     1693   2194   2312
T     1786     1704   2206   2323
T     1787     1704   2205   2322
T     1788     1696   2198   2315
T     1789     1699   2200   2318
T     1790     1704   2206   2324
T     1791     1709   2211   2328
T     1792     1699   2201   2318
T     1793     1703   2205   2322
T     1794     1708   2210   2328
T     1795     1711   2212   2330
T     1796     1703   2205   2322
T     1797     1715   2217   2334
T     1798     1717   2219   2336
T     1799     1715   2217   2334
T     1800     1709   2211   2328
T     1801     1718   2221   2337
T     1802     1719   2221   2338
T     1803     1717   2220   2336
T     1804     1714   2216   2333
T     1805     1719   2221   2338
T     1806     1721   2224   2341
T     1807     1722   2224   2341
T     1808     1715   2218   2334
T     1809     1721   2224   2340
T     1810     1723   2227   2343
T     1811     1725   2228   2344
T     1812     1718   2222   2337
T     1813     1727   2230   2346
T     1814     1726   2230   2346
T     1815     1728   2231   2347
T     1816     1720   2224   2339
T     1817     1730   2234   2349
T     1818     1732   2235   2351
T     1819     1731   2235   2350
T     1820     1724   2229   2344
T     1821     1730   2234   2350
T     1822     1732   2236   2351
T     1823     1735   2240   2355
T     1824     1725   2229   2344
T     1825     1735   2239   2355
T     1826     1738   2242   2363
T     1827     1739   2244   2359
T     1828     1739   2244   2359
T     1829     1732   2238   2352
T     1830     1739   2244   2359
T     1831     1740   2245   2360
T     1832     1741   2246   2361
T     1833     1733   2238   2353
T     1834     1747   2253   2367
T     1835     1745   2251   2365
T     1836     1753   2260   2374
T     1837     1745   2251   2366
T     1838     1746   2252   2366
T     1839     1747   2236   2333
Done with data collection
Returning to main menu

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval

